Area,Item,Year,Area harvested (ha),Production (tonnes),Calories (100gr),Protein,Carbohydrates,Fats,Fiber,Vitamin A,Vitamin K,Vtamin C,Vitamin B-3,Vitamin B-9,Calcium,Iron,Potasium,Magnesium,phosphorus,Sodium,Zinc,Selenium,Manganese,Annual Consumption Percapita,Daily Consuption Percapita
Mexico,"Onions, dry",2019,47952,1487102,,,,,,,,,,,,,,,,,,,,,
Mexico,"Onions, shallots, green",2019,7514,85189,,,,,,,,,,,,,,,,,,,,,
Mexico,Oranges,2019,329561,4736715,47,0,11.8,0,2.4,225,,53.2,,30,40,,181,10,14,,,,,37,0.101369863
Mexico,Papayas,2019,18839,1083133,,,,,,,,,,,,,,,,,,,,,
Mexico,Peaches and nectarines,2019,25202,158942,,,,,,,,,,,,,,,,,,,,,
Mexico,Pears,2019,3702,25979,,,,,,,,,,,,,,,,,,,,,
Mexico,"Peas, dry",2019,1481,1967,,,,,,,,,,,,,,,,,,,,,
Mexico,"Peas, green",2019,11472,60493,,,,,,,,,,,,,,,,,,,,,
Mexico,Pepper (piper spp.),2019,3243,9384,,,,,,,,,,,,,,,,,,,,,
Mexico,Peppermint,2019,64,610,,,,,,,,,,,,,,,,,,,,,
Mexico,Persimmons,2019,4,54,,,,,,,,,,,,,,,,,,,,,
Mexico,Pineapples,2019,22585,1041161,,,,,,,,,,,,,,,,,,,,,
Mexico,Pistachios,2019,107,39,,,,,,,,,,,,,,,,,,,,,
Mexico,Plums and sloes,2019,13101,72902,,,,,,,,,,,,,,,,,,,,,
Mexico,Potatoes,2019,58442,1783896,77,2.02,17.5,0,2.2,2,1.9,19.7,1.1,16,12,,421,23,57,6,,,,14.8,0.040547945
Mexico,Pulses nes,2019,824,659,,,,,,,,,,,,,,,,,,,,,
Mexico,"Pumpkins, squash and gourds",2019,33941,679145,,,,,,,,,,,,,,,,,,,,,
Mexico,Quinces,2019,582,5144,,,,,,,,,,,,,,,,,,,,,
Mexico,Rapeseed,2019,3000,2000,,,,,,,,,,,,,,,,,,,,,
